date,roll_yield,near_by,deferred
2017-10-09,0.0447067096942787,TA801,TA805
2017-10-10,0.0423536446373548,TA801,TA805
2017-10-11,0.03178369929418808,TA801,TA805
2017-10-12,0.01878675415384229,TA801,TA805
2017-10-13,0.010532485950188911,TA801,TA805
2017-10-16,-0.010450949218338898,TA801,TA805
2017-10-17,-0.00813481033019046,TA801,TA805
2017-10-18,0.001150086270554539,TA801,TA805
2017-10-19,0.004647560960488135,TA801,TA805
2017-10-20,0.009266416633759102,TA801,TA805
2017-10-23,-0.0011598685626791189,TA801,TA805
2017-10-24,-0.004631417361380572,TA801,TA805
2017-10-25,0.006955180858741484,TA801,TA805
2017-10-26,0.010402630342390489,TA801,TA805
2017-10-27,0.019717836302568993,TA801,TA805
2017-10-30,0.01960414433422409,TA801,TA805
2017-10-31,-0.008137962750382022,TA801,TA805
2017-11-01,-0.02661541082953819,TA801,TA805
2017-11-02,-0.023094802277257007,TA801,TA805
2017-11-03,-0.0333145295999794,TA801,TA805
2017-11-06,-0.004518073143113572,TA801,TA805
2017-11-07,-0.02472850269513547,TA801,TA805
2017-11-08,-0.018058745275158387,TA801,TA805
2017-11-09,-0.017937273168174027,TA801,TA805
2017-11-10,0.00449270020318457,TA801,TA805
2017-11-13,0.05150811460601989,TA801,TA805
2017-11-14,0.10637872836546303,TA801,TA805
2017-11-15,0.10252697222235967,TA801,TA805
2017-11-16,0.08389067588594051,TA801,TA805
2017-11-17,0.0860036846087154,TA801,TA805
2017-11-20,0.08731063662718143,TA801,TA805
2017-11-21,0.07128831138333784,TA801,TA805
2017-11-22,-0.014304079914075086,TA801,TA805
2017-11-23,-0.016589904028383257,TA801,TA805
2017-11-24,-0.023132113874889504,TA801,TA805
2017-11-27,-0.0066617347877317434,TA801,TA805
2017-11-28,-0.011173197272947319,TA801,TA805
2017-11-29,-0.01671313514836608,TA801,TA805
2017-11-30,-0.015659990816273322,TA801,TA805
2017-12-01,-0.015146083379937668,TA801,TA805
2017-12-04,0.010760413257857825,TA801,TA805
2017-12-05,0.013090929863319816,TA801,TA805
2017-12-06,0.06901814104115235,TA801,TA805
2017-12-07,0.04741874131276499,TA801,TA805
2017-12-08,0.029850992559504276,TA801,TA805
2017-12-11,0.015532579076806923,TA801,TA805
2017-12-12,0.012161431800915322,TA801,TA805
2017-12-13,0.04297594153743612,TA801,TA805
2017-12-14,0.054719551630825786,TA801,TA805
2017-12-15,0.05353301896848166,TA801,TA805
2017-12-18,0.032420662089531385,TA801,TA805
2017-12-19,0.012279086909924969,TA801,TA805
