date,roll_yield,near_by,deferred
2019-03-12,0.008288933633147812,SR905,SR909
2019-03-13,0.012371151551586123,SR905,SR909
2019-03-14,0.025291787874676695,SR905,SR909
2019-03-15,0.01765057062536167,SR905,SR909
2019-03-18,0.01866983855182132,SR905,SR909
2019-03-19,0.012825515064900738,SR905,SR909
2019-03-20,0.011718764901195632,SR905,SR909
2019-03-21,0.009983370278024237,SR905,SR909
2019-03-22,0.007699145475377044,SR905,SR909
2019-03-25,0.011328643095301358,SR905,SR909
2019-03-26,0.007128716225649496,SR905,SR909
2019-03-27,0.013113472101839434,SR905,SR909
2019-03-28,0.020326901201276726,SR905,SR909
2019-03-29,0.016006361456894116,SR905,SR909
2019-04-01,0.020683623742398814,SR905,SR909
2019-04-02,0.019425163522415093,SR905,SR909
2019-04-03,0.013544041063579839,SR905,SR909
2019-04-04,0.019459527688820557,SR905,SR909
2019-04-08,0.014649897263649438,SR905,SR909
2019-04-09,0.025296747593779794,SR905,SR909
2019-04-10,-0.012111907252520215,SR905,SR909
2019-04-11,0.0015733881376064182,SR001,SR909
2019-04-12,0.0014457595871144317,SR001,SR909
2019-04-15,0.002097187816653737,SR001,SR909
2019-04-16,0.0024145047235831487,SR001,SR909
2019-04-17,0.002627761767201792,SR001,SR909
2019-04-18,0.0025329223745971983,SR001,SR909
2019-04-19,0.00365418215486982,SR001,SR909
2019-04-22,0.00334223205855081,SR001,SR909
2019-04-23,0.003315200825654428,SR001,SR909
2019-04-24,0.003523848209896191,SR001,SR909
2019-04-25,0.002380450731702307,SR001,SR909
2019-04-26,0.0019847272016484,SR001,SR909
2019-04-29,0.0014978484130588549,SR001,SR909
2019-04-30,0.001064932900768883,SR001,SR909
2019-05-06,0.0009101969782728224,SR001,SR909
2019-05-07,0.0013998627122665214,SR001,SR909
2019-05-08,0.0012263956339665177,SR001,SR909
2019-05-09,0.0011820499048172382,SR001,SR909
2019-05-10,0.0011149267752237017,SR001,SR909
2019-05-13,0.0011144977839396164,SR001,SR909
2019-05-14,0.0007293680686206995,SR001,SR909
2019-05-15,0.0010057271113141748,SR001,SR909
2019-05-16,0.0014524181534628978,SR001,SR909
2019-05-17,0.0012278273970700183,SR001,SR909
2019-05-20,0.0011545008174364154,SR001,SR909
2019-05-21,0.0010591725137091418,SR001,SR909
2019-05-22,0.0008138181675961355,SR001,SR909
2019-05-23,-0.0008637417677801798,SR001,SR909
2019-05-24,-0.0007111312636616952,SR001,SR909
2019-05-27,-0.002090361829692116,SR001,SR909
2019-05-28,-0.001050245323863927,SR001,SR909
2019-05-29,-0.0006467494196266217,SR001,SR909
2019-05-30,-0.00033519114254748454,SR001,SR909
2019-05-31,-6.280377155080778e-05,SR001,SR909
2019-06-03,0.0002499758184443362,SR001,SR909
2019-06-04,0.0005338747800802922,SR001,SR909
2019-06-05,0.00030809595650125075,SR001,SR909
2019-06-06,0.00043539773524703753,SR001,SR909
2019-06-10,0.00026701644651108355,SR001,SR909
2019-06-11,0.0004099402069999206,SR001,SR909
2019-06-12,2.0438264585314117e-05,SR001,SR909
2019-06-13,0.00010026973341198396,SR001,SR909
2019-06-14,0.0002815468032742063,SR001,SR909
2019-06-17,4.0599794815514113e-05,SR001,SR909
2019-06-18,-0.0002642877700050869,SR001,SR909
2019-06-19,-0.00018196711088064402,SR001,SR909
2019-06-20,-0.00036375676580233275,SR001,SR909
2019-06-21,0.00024518662679651583,SR001,SR909
2019-06-24,0.00041206298602696216,SR001,SR909
2019-06-25,0.0004933949378312281,SR001,SR909
2019-06-26,0.0003925935484708484,SR001,SR909
2019-06-27,8.31410740851405e-05,SR001,SR909
2019-06-28,0.0002886738692197444,SR001,SR909
2019-07-01,0.0001643993605624883,SR001,SR909
2019-07-02,0.0002039998213094295,SR001,SR909
2019-07-03,-0.00010237336398271844,SR001,SR909
2019-07-04,-0.0005072495985739267,SR001,SR909
2019-07-05,-0.0016145662000759586,SR001,SR909
2019-07-08,-0.0017724750776315075,SR001,SR909
2019-07-09,-0.0014408918746793547,SR001,SR909
2019-07-10,-0.0015680373119983265,SR001,SR909
2019-07-11,-0.0015417912877824054,SR001,SR909
2019-07-12,-0.001446009927483444,SR001,SR909
2019-07-15,-0.0014120814438312254,SR001,SR909
2019-07-16,-0.0013797307133974683,SR001,SR909
2019-07-17,-0.001223304906955205,SR001,SR909
2019-07-18,-0.001324220216745239,SR001,SR909
2019-07-19,-0.001478291601836702,SR001,SR909
2019-07-22,-0.001334313242941778,SR001,SR909
2019-07-23,-0.0015225040432324615,SR001,SR909
2019-07-24,-0.0009610393352164801,SR001,SR909
2019-07-25,-0.000610781043270776,SR001,SR909
2019-07-26,0.0007208968258027567,SR001,SR909
2019-07-29,0.00048102139985457267,SR001,SR909
2019-07-30,0.00021488649677183202,SR001,SR909
2019-07-31,0.0008517495980622342,SR001,SR909
2019-08-01,0.0008739697929881039,SR001,SR909
2019-08-02,0.0009148745234832112,SR001,SR909
2019-08-05,0.0014093199470276369,SR001,SR909
2019-08-06,0.0008349695000239789,SR001,SR909
2019-08-07,0.0011167054278702615,SR001,SR909
2019-08-08,0.0011977338472284847,SR001,SR909
