date,dom_basis,dom_basis_1st,dom_basis_2nd
2017-11-03,-182.32999999999993,-26.329999999999927,-16.0
2017-11-10,-139.0,43.32999999999993,69.65999999999985
2017-11-17,-91.0,48.0,4.670000000000073
2017-11-24,-40.32999999999993,50.67000000000007,2.6700000000000728
2017-12-01,-52.67000000000007,-12.340000000000146,-63.01000000000022
2017-12-08,25.670000000000073,78.34000000000015,90.68000000000029
2017-12-15,8.329999999999927,-17.340000000000146,-95.68000000000029
2017-12-22,4.0,-4.329999999999927,13.010000000000218
2017-12-29,1.0,-3.0,1.3299999999999272
2018-01-05,-31.0,-32.0,-29.0
2018-01-12,-14.0,17.0,49.0
2018-01-19,-21.0,-7.0,-24.0
2018-01-26,-5.0,16.0,23.0
2018-02-02,20.0,25.0,9.0
2018-02-09,16.329999999999927,-3.6700000000000728,-28.670000000000073
2018-02-16,45.0,28.670000000000073,32.340000000000146
2018-02-23,109.0,64.0,35.32999999999993
2018-03-02,174.67000000000007,65.67000000000007,1.6700000000000728
2018-03-09,63.32999999999993,-111.34000000000015,-177.01000000000022
2018-03-16,11.670000000000073,-51.659999999999854,59.68000000000029
2018-03-23,-11.329999999999927,-23.0,28.659999999999854
2018-03-30,66.32999999999993,77.65999999999985,100.65999999999985
2018-04-06,76.32999999999993,10.0,-67.65999999999985
2018-04-13,102.0,25.670000000000073,15.670000000000073
2018-04-20,80.32999999999993,-21.670000000000073,-47.340000000000146
2018-04-27,58.67000000000007,-21.659999999999854,0.010000000000218279
2018-05-04,71.67000000000007,13.0,34.659999999999854
2018-05-11,88.0,16.329999999999927,3.3299999999999272
2018-05-18,45.0,-43.0,-59.32999999999993
2018-05-25,86.32999999999993,41.32999999999993,84.32999999999993
2018-06-01,90.67000000000007,4.3400000000001455,-36.98999999999978
2018-06-08,112.67000000000007,22.0,17.659999999999854
2018-06-15,45.67000000000007,-67.0,-89.0
2018-06-22,82.32999999999993,36.659999999999854,103.65999999999985
2018-06-29,150.32999999999993,68.0,31.340000000000146
2018-07-06,113.0,-37.32999999999993,-105.32999999999993
2018-07-13,53.67000000000007,-59.32999999999993,-22.0
2018-07-20,55.67000000000007,2.0,61.32999999999993
2018-07-27,61.67000000000007,6.0,4.0
2018-08-03,58.67000000000007,-3.0,-9.0
2018-08-10,79.0,20.329999999999927,23.329999999999927
2018-08-17,43.67000000000007,-35.32999999999993,-55.659999999999854
2018-08-24,-34.32999999999993,-78.0,-42.67000000000007
2018-08-31,-101.67000000000007,-67.34000000000015,10.659999999999854
2018-09-07,-103.32999999999993,-1.6599999999998545,65.68000000000029
2018-09-14,-69.32999999999993,34.0,35.659999999999854
2018-09-21,-78.32999999999993,-9.0,-43.0
2018-09-28,8.0,86.32999999999993,95.32999999999993
2018-10-12,74.67000000000007,66.67000000000007,-19.659999999999854
2018-10-19,-70.32999999999993,-145.0,-211.67000000000007
2018-10-26,-75.32999999999993,-5.0,140.0
2018-11-02,-13.670000000000073,61.659999999999854,66.65999999999985
2018-11-09,-113.67000000000007,-100.0,-161.65999999999985
2018-11-16,-107.32999999999993,6.3400000000001455,106.34000000000015
2018-11-23,-74.0,33.32999999999993,26.98999999999978
2018-11-30,-171.32999999999993,-97.32999999999993,-130.65999999999985
2018-12-07,-103.32999999999993,68.0,165.32999999999993
2018-12-14,-69.67000000000007,33.659999999999854,-34.340000000000146
2018-12-21,-105.0,-35.32999999999993,-68.98999999999978
2018-12-28,-139.0,-34.0,1.3299999999999272
2019-01-04,-73.0,66.0,100.0
2019-01-11,-131.0,-58.0,-124.0
2019-01-18,-131.67000000000007,-0.6700000000000728,57.32999999999993
2019-01-25,-61.0,70.67000000000007,71.34000000000015
2019-02-01,-64.0,-3.0,-73.67000000000007
2019-02-15,8.0,72.0,75.0
2019-02-22,-17.0,-25.0,-97.0
2019-03-01,-0.5,16.5,41.5
2019-03-08,46.0,46.5,30.0
2019-03-15,33.5,-12.5,-59.0
2019-03-22,17.5,-16.0,-3.5
2019-03-29,13.5,-4.0,12.0
2019-04-05,8.5,-5.0,-1.0
2019-04-12,32.0,23.5,28.5
2019-04-19,16.0,-16.0,-39.5
2019-04-26,-4.0,-20.0,-4.0
2019-05-03,-32.5,-28.5,-8.5
2019-05-10,52.5,85.0,113.5
2019-05-17,66.0,13.5,-71.5
2019-05-24,98.0,32.0,18.5
2019-05-31,144.5,46.5,14.5
2019-06-07,50.0,-94.5,-141.0
2019-06-14,49.67000000000007,-0.32999999999992724,94.17000000000007
2019-06-21,88.32999999999993,38.659999999999854,38.98999999999978
