date,dom_basis,dom_basis_1st,dom_basis_2nd
2020-01-24,-219.32999999999993,-121.32999999999993,-64.32999999999993
2020-02-07,-153.67000000000007,65.65999999999985,186.98999999999978
2020-02-14,-155.67000000000007,-2.0,-67.65999999999985
2020-02-21,-144.32999999999993,11.340000000000146,13.340000000000146
2020-02-28,-118.0,26.329999999999927,14.989999999999782
2020-03-06,-190.0,-72.0,-98.32999999999993
2020-03-13,-263.0,-73.0,-1.0
2020-03-20,-440.6700000000001,-177.67000000000007,-104.67000000000007
2020-03-27,-404.0,36.67000000000007,214.34000000000015
2020-04-03,-397.0,7.0,-29.670000000000073
2020-04-10,-477.3299999999999,-80.32999999999993,-87.32999999999993
2020-04-17,-507.6700000000001,-30.340000000000146,49.98999999999978
2020-04-24,-561.6700000000001,-54.0,-23.659999999999854
2020-05-01,-758.3299999999999,-196.65999999999985,-142.65999999999985
2020-05-08,-670.3299999999999,88.0,284.65999999999985
2020-05-15,-662.6700000000001,7.6599999999998545,-80.34000000000015
2020-05-22,-698.3299999999999,-35.659999999999854,-43.31999999999971
2020-05-29,-729.0,-30.670000000000073,4.989999999999782
2020-06-05,-680.0,49.0,79.67000000000007
2020-06-12,-607.3299999999999,72.67000000000007,23.670000000000073
2020-06-19,-673.3299999999999,-66.0,-138.67000000000007
2020-06-26,-651.6700000000001,21.659999999999854,87.65999999999985
2020-07-03,-625.3299999999999,26.340000000000146,4.680000000000291
2020-07-10,-464.6700000000001,160.65999999999985,134.3199999999997
2020-07-17,-466.3299999999999,-1.6599999999998545,-162.3199999999997
2020-07-24,-530.3299999999999,-64.0,-62.340000000000146
2020-07-31,-670.0,-139.67000000000007,-75.67000000000007
2020-08-07,-575.0,95.0,234.67000000000007
2020-08-14,-568.0,7.0,-88.0
2020-08-21,-598.6700000000001,-30.670000000000073,-37.67000000000007
2020-08-28,-462.6700000000001,136.0,166.67000000000007
2020-09-04,-477.6700000000001,-15.0,-151.0
2020-09-11,-422.6700000000001,55.0,70.0
2020-09-18,-368.3299999999999,54.340000000000146,-0.6599999999998545
2020-09-25,-416.3299999999999,-48.0,-102.34000000000015
2020-10-02,-577.0,-160.67000000000007,-112.67000000000007
2020-10-09,-570.3299999999999,6.670000000000073,167.34000000000015
2020-10-16,-451.0,119.32999999999993,112.65999999999985
2020-10-23,-290.0,161.0,41.67000000000007
2020-10-30,-383.3299999999999,-93.32999999999993,-254.32999999999993
2020-11-06,-426.6700000000001,-43.340000000000146,49.98999999999978
2020-11-13,-342.6700000000001,84.0,127.34000000000015
2020-11-20,-310.6700000000001,32.0,-52.0
2020-11-27,-232.67000000000007,78.0,46.0
2020-12-04,-281.3299999999999,-48.659999999999854,-126.65999999999985
2020-12-11,-353.0,-71.67000000000007,-23.01000000000022
2020-12-18,-171.67000000000007,181.32999999999993,253.0
2020-12-25,-148.32999999999993,23.340000000000146,-157.98999999999978
2021-01-01,-122.32999999999993,26.0,2.6599999999998545
2021-01-08,-31.670000000000073,90.65999999999985,64.65999999999985
2021-01-15,90.0,121.67000000000007,31.01000000000022
2021-01-22,34.67000000000007,-55.32999999999993,-177.0
2021-01-29,-120.67000000000007,-155.34000000000015,-100.01000000000022
2021-02-05,-61.32999999999993,59.340000000000146,214.6800000000003
2021-02-12,-108.32999999999993,-47.0,-106.34000000000015
2021-02-19,9.0,117.32999999999993,164.32999999999993
2021-02-26,50.0,41.0,-76.32999999999993
2021-03-05,40.32999999999993,-9.670000000000073,-50.67000000000007
2021-03-12,-39.32999999999993,-79.65999999999985,-69.98999999999978
2021-03-19,-3.0,36.32999999999993,115.98999999999978
2021-03-26,-87.67000000000007,-84.67000000000007,-121.0
2021-04-02,-140.32999999999993,-52.659999999999854,32.01000000000022
2021-04-09,-109.67000000000007,30.659999999999854,83.31999999999971
2021-04-16,-73.32999999999993,36.340000000000146,5.680000000000291
2021-04-23,-34.0,39.32999999999993,2.9899999999997817
2021-04-30,16.670000000000073,50.67000000000007,11.340000000000146
2021-05-07,40.0,23.329999999999927,-27.340000000000146
2021-05-14,206.0,166.0,142.67000000000007
2021-05-21,28.670000000000073,-177.32999999999993,-343.3299999999999
2021-05-28,-0.32999999999992724,-29.0,148.32999999999993
2021-06-04,12.670000000000073,13.0,42.0
2021-06-11,-55.67000000000007,-68.34000000000015,-81.34000000000015
2021-06-18,-117.67000000000007,-62.0,6.3400000000001455
2021-06-25,-47.67000000000007,70.0,132.0
2021-07-02,64.67000000000007,112.34000000000015,42.340000000000146
2021-07-09,28.670000000000073,-36.0,-148.34000000000015
2021-07-16,-56.0,-84.67000000000007,-48.67000000000007
2021-07-23,-11.670000000000073,44.32999999999993,129.0
2021-07-30,35.0,46.67000000000007,2.3400000000001455
2021-08-06,40.0,5.0,-41.67000000000007
2021-08-13,327.0,287.0,282.0
2021-08-20,325.6700000000001,-1.3299999999999272,-288.3299999999999
2021-08-27,242.67000000000007,-83.0,-81.67000000000007
2021-09-03,246.32999999999993,3.6599999999998545,86.65999999999985
2021-09-10,271.0,24.670000000000073,21.01000000000022
2021-09-17,238.32999999999993,-32.67000000000007,-57.340000000000146
2021-09-24,182.32999999999993,-56.0,-23.329999999999927
2021-10-01,182.0,-0.32999999999992724,55.67000000000007
2021-10-08,224.0,42.0,42.32999999999993
2021-10-15,356.6700000000001,132.67000000000007,90.67000000000007
2021-10-22,275.0,-81.67000000000007,-214.34000000000015
2021-10-29,388.0,113.0,194.67000000000007
2021-11-05,248.0,-140.0,-253.0
2021-11-12,352.0,104.0,244.0
2021-11-19,347.0,-5.0,-109.0
2021-11-26,259.0,-88.0,-83.0
2021-12-03,143.0,-116.0,-28.0
2021-12-10,160.0,17.0,133.0
2021-12-17,95.0,-65.0,-82.0
2021-12-24,22.0,-73.0,-8.0
2021-12-31,47.0,25.0,98.0
2022-01-07,64.0,17.0,-8.0
2022-01-14,93.0,29.0,12.0
2022-01-21,136.0,43.0,14.0
2022-01-28,71.0,-65.0,-108.0
2022-02-11,89.0,18.0,83.0
2022-02-18,27.0,-62.0,-80.0
2022-02-25,59.0,32.0,94.0
2022-03-04,101.0,42.0,10.0
2022-03-11,118.0,17.0,-25.0
2022-03-18,88.0,-30.0,-47.0
2022-03-25,21.0,-67.0,-37.0
2022-04-01,72.0,51.0,118.0
2022-04-08,216.0,144.0,93.0
2022-04-15,211.0,-5.0,-149.0
2022-04-22,206.0,-5.0,0.0
2022-04-29,75.0,-131.0,-126.0
2022-05-06,55.0,-20.0,111.0
2022-05-13,24.0,-31.0,-11.0
2022-05-20,133.0,109.0,140.0
2022-05-27,165.0,32.0,-77.0
2022-06-03,170.0,5.0,-27.0
2022-06-10,143.0,-27.0,-32.0
2022-06-17,65.0,-78.0,-51.0
2022-06-24,7.0,-58.0,20.0
2022-07-01,-22.0,-29.0,29.0
2022-07-08,-41.0,-19.0,10.0
2022-07-15,-51.0,-10.0,9.0
2022-07-22,-6.0,45.0,55.0
2022-07-29,-19.0,-13.0,-58.0
2022-08-05,-83.0,-64.0,-51.0
2022-08-12,-207.0,-124.0,-60.0
2022-08-19,-216.0,-9.0,115.0
2022-08-26,-257.0,-41.0,-32.0
2022-09-02,-214.0,43.0,84.0
2022-09-09,-227.0,-13.0,-56.0
2022-09-16,-128.0,99.0,112.0
2022-09-23,-121.0,7.0,-92.0
2022-09-30,-211.0,-90.0,-97.0
2022-10-14,-90.0,121.0,211.0
2022-10-21,-99.0,-9.0,-130.0
2022-10-28,-146.0,-47.0,-38.0
2022-11-04,-118.0,28.0,75.0
2022-11-11,-6.0,112.0,84.0
2022-11-18,21.0,27.0,-85.0
2022-11-25,-74.0,-95.0,-122.0
2022-12-02,-194.0,-120.0,-25.0
2022-12-09,-48.0,146.0,266.0
2022-12-16,39.0,87.0,-59.0
2022-12-23,29.0,-10.0,-97.0
2022-12-30,58.0,29.0,39.0
2023-01-06,20.0,-38.0,-67.0
2023-01-13,-87.0,-107.0,-69.0
2023-01-20,-28.0,59.0,166.0
2023-02-03,79.0,107.0,48.0
2023-02-10,75.0,-4.0,-111.0
2023-02-17,54.0,-21.0,-17.0
2023-02-24,70.0,16.0,37.0
2023-03-03,128.0,58.0,42.0
2023-03-10,319.0,191.0,133.0
2023-03-17,164.0,-155.0,-346.0
2023-03-24,73.0,-91.0,64.0
2023-03-31,310.0,237.0,328.0
2023-04-07,411.0,101.0,-136.0
2023-04-14,279.0,-132.0,-233.0
2023-04-21,395.0,116.0,248.0
2023-04-28,453.0,58.0,-58.0
2023-05-05,97.0,-356.0,-414.0
2023-05-12,112.0,15.0,371.0
2023-05-19,28.0,-84.0,-99.0
2023-05-26,160.0,132.0,216.0
2023-06-02,-160.0,-320.0,-452.0
2023-06-09,-76.0,84.0,404.0
2023-06-16,-152.0,-76.0,-160.0
2023-06-23,-233.0,-81.0,-5.0
2023-06-30,-309.0,-76.0,5.0
2023-07-07,-310.0,-1.0,75.0
2023-07-14,-213.0,97.0,98.0
2023-07-21,-282.0,-69.0,-166.0
2023-07-28,-288.0,-6.0,63.0
2023-08-04,-464.0,-176.0,-170.0
2023-08-11,-236.0,228.0,404.0
2023-08-18,-362.0,-126.0,-354.0
2023-08-25,-295.0,67.0,193.0
2023-09-01,-273.0,22.0,-45.0
2023-09-08,-223.0,50.0,28.0
2023-09-15,-559.0,-336.0,-386.0
2023-09-22,-592.0,-33.0,303.0
2023-09-29,-547.0,45.0,78.0
2023-10-13,-558.0,-11.0,-56.0
2023-10-20,-456.0,102.0,113.0
2023-10-27,-459.0,-3.0,-105.0
2023-11-03,-358.0,101.0,104.0
2023-11-10,-259.0,99.0,-2.0
2023-11-17,-340.0,-81.0,-180.0
2023-11-24,-324.0,16.0,97.0
2023-12-01,-322.0,2.0,-14.0
2023-12-08,-557.0,-235.0,-237.0
2023-12-15,-574.0,-17.0,218.0
2023-12-22,-462.0,112.0,129.0
2023-12-29,-387.0,75.0,-37.0
2024-01-05,-376.0,11.0,-64.0
2024-01-12,-378.0,-2.0,-13.0
2024-01-19,-286.0,92.0,94.0
2024-01-26,-182.0,104.0,12.0
2024-02-02,-267.0,-85.0,-189.0
