date,dom_basis,dom_basis_1st,dom_basis_2nd,basis_factor,basis_factor_zscore,basis_factor_zscore_近三周mean
2020-07-17,186.5,6.5,13.5,7.9,0.08137100557587404,0.1201427855710417
2020-07-24,150.5,-36.0,-42.5,-37.3,-0.38804447365133227,0.11841190253554314
2020-07-31,142.0,-8.5,27.5,-1.3000000000000007,-0.014173737983645856,-0.15679850010872606
2020-08-07,68.5,-73.5,-65.0,-71.80000000000001,-0.746337261999532,-0.10694906868636785
2020-08-14,287.5,219.0,292.5,233.7,2.4263713420693076,-0.3828518245448365
2020-08-21,313.0,25.5,-193.5,-18.3,-0.1907238076044978,0.5552867806953767
2020-08-28,352.5,39.5,14.0,34.4,0.3565814082201433,0.49643675748842614
2020-09-04,431.5,79.0,39.5,71.10000000000001,0.7377218526369238,0.8640763142283179
2020-09-11,343.0,-88.5,-167.5,-104.3,-1.0838594539217488,0.3011931510841899
2020-09-18,287.0,-56.0,32.5,-38.3,-0.3984297718643236,0.003481268978439589
2020-09-25,286.0,-1.0,55.0,10.2,0.10525719146575399,-0.24818912438304938
2020-10-02,196.0,-90.0,-89.0,-89.8,-0.9332726298333751,-0.4590106781067726
2020-10-09,167.5,-28.5,61.5,-10.5,-0.10971848154316574,-0.40881507007731477
2020-10-16,244.0,76.5,105.0,82.2,0.852998662801127,-0.31257797330359555
2020-10-23,180.0,-64.0,-140.5,-79.30000000000001,-0.8242269985969667,-0.06333081619180454
2020-10-30,167.0,-13.0,51.0,-0.1999999999999993,-0.00274990994935542,-0.026982272446335036
2020-11-06,190.0,23.0,36.0,25.6,0.2651907839458199,0.008673918084935072
2020-11-13,265.0,75.0,52.0,70.4,0.7304521438878299,-0.1872620415335006
2020-11-20,172.0,-93.0,-168.0,-108.0,-1.1222850573098166,0.3309643392947649
2020-11-27,200.0,28.0,121.0,46.60000000000001,0.48328204641863715,-0.0422140431587222
2020-12-04,211.0,11.0,-17.0,5.4,0.05540776004339581,0.03048304433221688
2020-12-11,367.5,156.5,145.5,154.3,1.6017786639577993,-0.1945317502825945
2020-12-18,387.0,19.5,-137.0,-11.8,-0.12321936922005443,0.7134894901399441
2020-12-25,223.5,-163.5,-183.0,-167.4,-1.7391717711614993,0.5113223515937136
2021-01-01,87.0,-136.5,27.0,-103.8,-1.0786668048152532,-0.08687082547458476
2021-01-08,146.0,59.0,195.5,86.30000000000001,0.8955783854743914,-0.9803526483989357
2021-01-15,34.5,-111.5,-170.5,-123.3,-1.2811801199685833,-0.6407533968341204
2021-01-22,6.0,-28.5,83.0,-6.199999999999999,-0.06506169922730316,-0.48808951310314835
2021-01-29,7.0,1.0,29.5,6.7,0.06890864772028449,-0.15022114457383165
2021-02-05,88.0,81.0,80.0,80.8,0.8384592453029391,-0.42577772382520057
2021-02-12,73.5,-14.5,-95.5,-30.700000000000003,-0.31950150544558986,0.2807687312653068
2021-02-19,134.5,61.0,75.5,63.900000000000006,0.6629477055033864,0.19595546252587792
2021-02-26,256.0,121.5,60.5,109.3,1.134440244373191,0.39396848178691196
2021-03-05,276.0,20.0,-101.5,-4.300000000000001,-0.04532963262261973,0.4926288148103291
2021-03-12,247.5,-28.5,-48.5,-32.5,-0.3381950422289741,0.5840194390846525
2021-03-19,130.5,-117.0,-88.5,-111.3,-1.156556541412688,0.25030518984053224
2021-03-26,34.5,-96.0,21.0,-72.60000000000001,-0.754645500569925,-0.5133604054214272
2021-04-02,96.5,62.0,158.0,81.2,0.8426133645881357,-0.749799028070529
2021-04-09,83.0,-13.5,-75.5,-25.9,-0.2696520740232316,-0.356196225798159
2021-04-16,89.5,6.5,20.0,9.2,0.0948718932527627,-0.060561403335006946
